LoanID,PoolID,BorrowerID,VehicleKey,GeoKey,ServicerID,OriginationDateKey,OriginationDate,OriginalLoanAmount,CurrentBalance,InterestRate,OriginalTerm,RemainingTerm,MonthsOnBook,LTV_Current,DTI_Ratio,CIBIL_Score_Orig,CIBIL_Score_Current,CIBILBand_Curr,DelinquencyDays,DPD_Bucket,IFRS9_Stage,PD_Estimate,LGD_Estimate,EAD,ECL_Provision,IsDefaulted,LossAmount,RecoveryAmount,NetLoss,PrepaymentAmount
L2400017,ZAAUTO2024-1,B2400017,6,4,SRV-HDFC,20211230,2021-12-30,440713.94,125676.88,10.08,72,38,34,71.38,38.29,858,878,Excellent,0,Current,1,0.004218,0.352035,125676.88,186.62,False,0.0,0.0,0.0,133053.8
L2400018,ZAAUTO2024-1,B2400018,6,3,SRV-HDFC,20230330,2023-03-30,804180.67,399475.63,13.52,36,17,19,77.11,50.36,797,766,Excellent,0,Current,1,0.015184,0.388833,399475.63,2358.59,False,0.0,0.0,0.0,0.0
L2400019,ZAAUTO2024-1,B2400019,6,14,SRV-BAJAJ,20230930,2023-09-30,739958.22,542378.22,11.04,48,35,13,71.33,26.61,740,740,Super Prime,0,Current,1,0.029848,0.38266,542378.22,6194.81,False,0.0,0.0,0.0,0.0
L2400020,ZAAUTO2024-1,B2400020,9,8,SRV-BAJAJ,20240229,2024-02-29,2351411.92,1784493.01,8.11,36,28,8,76.16,48.5,824,872,Excellent,142,90+ DPD,3,1.0,0.38581,1784493.01,688475.34,True,688475.34,782453.35,688475.34,0.0
L2400021,ZAAUTO2024-1,B2400021,9,9,SRV-HDFC,20220430,2022-04-30,942638.84,170624.85,11.05,36,6,30,76.74,29.58,698,659,Prime,0,Current,1,0.139287,0.432363,170624.85,10275.48,False,0.0,0.0,0.0,0.0
L2400022,ZAAUTO2024-1,B2400022,3,0,SRV-HDFC,20231030,2023-10-30,522255.02,414941.25,9.43,60,48,12,64.85,47.68,747,719,Super Prime,0,Current,1,0.051156,0.303083,414941.25,6433.47,False,0.0,0.0,0.0,0.0
L2400023,ZAAUTO2024-1,B2400023,7,5,SRV-ICICI,20240430,2024-04-30,1232719.21,1082365.93,11.4,60,54,6,73.11,25.48,808,798,Excellent,0,Current,1,0.007724,0.338217,1082365.93,2827.71,False,0.0,0.0,0.0,0.0
L2400024,ZAAUTO2024-1,B2400024,7,9,SRV-BAJAJ,20210830,2021-08-30,1225386.22,161820.86,9.98,48,10,38,73.41,23.05,717,718,Super Prime,0,Current,1,0.052409,0.34121,161820.86,2893.78,False,0.0,0.0,0.0,126711.62
L2400025,ZAAUTO2024-1,B2400025,7,14,SRV-ICICI,20210730,2021-07-30,621414.98,130751.26,10.7,48,9,39,79.79,30.28,768,760,Excellent,79,60-89 DPD,2,0.134136,0.382173,130751.26,6702.73,False,0.0,0.0,0.0,0.0
L2400026,ZAAUTO2024-1,B2400026,0,13,SRV-BAJAJ,20230830,2023-08-30,524635.98,321190.11,9.36,36,22,14,61.22,43.5,698,690,Prime,117,90+ DPD,3,1.0,0.28631,321190.11,91959.9,True,91959.9,187943.46,91959.9,0.0
L2400027,ZAAUTO2024-1,B2400027,5,3,SRV-BAJAJ,20210830,2021-08-30,576997.06,133997.52,10.54,48,10,38,74.57,36.54,695,672,Prime,0,Current,1,0.121972,0.331575,133997.52,5419.24,False,0.0,0.0,0.0,0.0
L2400028,ZAAUTO2024-1,B2400028,9,1,SRV-BAJAJ,20220730,2022-07-30,1560072.82,738112.74,12.22,48,21,27,73.24,46.62,821,781,Excellent,42,30-59 DPD,2,0.116797,0.349354,738112.74,30117.62,False,0.0,0.0,0.0,0.0
L2400029,ZAAUTO2024-1,B2400029,1,11,SRV-HDFC,20240229,2024-02-29,1071026.16,876243.86,10.33,48,40,8,69.34,29.72,786,797,Excellent,0,Current,1,0.007857,0.371345,876243.86,2556.55,False,0.0,0.0,0.0,0.0
L2400030,ZAAUTO2024-1,B2400030,9,0,SRV-HDFC,20230228,2023-02-28,767176.07,587638.57,15.15,72,52,20,62.34,33.46,737,731,Super Prime,0,Current,1,0.037806,0.366615,587638.57,8144.87,False,0.0,0.0,0.0,0.0
L2400031,ZAAUTO2024-1,B2400031,7,10,SRV-ICICI,20220730,2022-07-30,1327240.44,758140.73,8.33,60,33,27,71.82,34.35,795,772,Excellent,0,Current,1,0.013137,0.34673,758140.73,3453.23,False,0.0,0.0,0.0,0.0
L2400032,ZAAUTO2024-1,B2400032,2,14,SRV-BAJAJ,20231230,2023-12-30,2665722.32,2191268.27,9.58,60,50,10,59.35,41.56,684,711,Super Prime,0,Current,1,0.061748,0.314786,2191268.27,42592.44,False,0.0,0.0,0.0,0.0
L2400033,ZAAUTO2024-1,B2400033,6,0,SRV-HDFC,20220730,2022-07-30,1998439.47,525629.54,9.31,36,9,27,73.5,31.32,741,758,Excellent,0,Current,1,0.018584,0.323399,525629.54,3158.98,False,0.0,0.0,0.0,0.0
L2400034,ZAAUTO2024-1,B2400034,2,11,SRV-BAJAJ,20240330,2024-03-30,1008145.0,886315.48,9.04,72,65,7,54.45,22.02,699,688,Prime,0,Current,1,0.097213,0.312898,886315.48,26959.66,False,0.0,0.0,0.0,0.0
L2400035,ZAAUTO2024-1,B2400035,8,7,SRV-ICICI,20230130,2023-01-30,325842.15,189879.87,10.42,48,27,21,64.38,40.03,754,741,Super Prime,0,Current,1,0.029067,0.360968,189879.87,1992.29,False,0.0,0.0,0.0,0.0
L2400036,ZAAUTO2024-1,B2400036,5,2,SRV-HDFC,20221230,2022-12-30,834936.13,597815.15,9.67,72,50,22,80.46,25.11,772,798,Excellent,0,Current,1,0.007724,0.376112,597815.15,1736.8,False,0.0,0.0,0.0,0.0
L2400037,ZAAUTO2024-1,B2400037,7,2,SRV-ICICI,20240430,2024-04-30,818205.79,742432.72,12.88,84,78,6,82.21,31.34,774,783,Excellent,0,Current,1,0.010272,0.34603,742432.72,2638.87,False,0.0,0.0,0.0,0.0
L2400038,ZAAUTO2024-1,B2400038,9,13,SRV-HDFC,20210530,2021-05-30,898411.83,321612.88,10.82,60,19,41,72.58,41.04,793,788,Excellent,0,Current,1,0.009276,0.302336,321612.88,901.97,False,0.0,0.0,0.0,0.0
L2400039,ZAAUTO2024-1,B2400039,3,4,SRV-BAJAJ,20221030,2022-10-30,1400923.21,749558.51,12.69,48,24,24,66.7,16.8,782,792,Excellent,0,Current,1,0.008592,0.295542,749558.51,1903.3,False,0.0,0.0,0.0,0.0
L2400040,ZAAUTO2024-1,B2400040,8,1,SRV-HDFC,20210630,2021-06-30,777151.14,147452.24,11.36,48,8,40,70.89,24.25,752,752,Excellent,0,Current,1,0.021725,0.408104,147452.24,1307.35,False,0.0,0.0,0.0,0.0
L2400041,ZAAUTO2024-1,B2400041,3,14,SRV-HDFC,20210830,2021-08-30,1104035.76,565949.6,9.0,72,34,38,58.79,36.71,801,776,Excellent,0,Current,1,0.011974,0.290759,565949.6,1970.42,False,0.0,0.0,0.0,0.0
L2400042,ZAAUTO2024-1,B2400042,7,11,SRV-BAJAJ,20211130,2021-11-30,850149.31,386057.26,9.99,60,25,35,80.4,40.78,776,769,Excellent,0,Current,1,0.014112,0.354933,386057.26,1933.67,False,0.0,0.0,0.0,0.0
L2400043,ZAAUTO2024-1,B2400043,2,5,SRV-ICICI,20220228,2022-02-28,956982.99,357124.06,13.08,48,16,32,58.71,32.25,822,823,Excellent,12,1-29 DPD,1,0.005544,0.311086,357124.06,615.91,False,0.0,0.0,0.0,0.0
L2400044,ZAAUTO2024-1,B2400044,2,1,SRV-ICICI,20211130,2021-11-30,1190140.23,663246.78,9.78,72,37,35,69.68,39.73,729,730,Super Prime,0,Current,1,0.038798,0.27485,663246.78,7072.6,False,0.0,0.0,0.0,0.0
L2400045,ZAAUTO2024-1,B2400045,2,3,SRV-BAJAJ,20230730,2023-07-30,787293.16,592483.47,9.29,60,45,15,67.75,18.83,726,720,Super Prime,0,Current,1,0.049924,0.380413,592483.47,11252.21,False,0.0,0.0,0.0,0.0
L2400046,ZAAUTO2024-1,B2400046,1,9,SRV-ICICI,20240330,2024-03-30,1068413.51,892910.81,10.58,48,41,7,77.75,32.59,760,774,Excellent,0,Current,1,0.012537,0.316025,892910.81,3537.62,False,0.0,0.0,0.0,0.0
L2400047,ZAAUTO2024-1,B2400047,0,11,SRV-HDFC,20220730,2022-07-30,711128.0,493866.22,16.0,72,45,27,66.86,24.14,853,862,Excellent,0,Current,1,0.004386,0.350237,493866.22,758.64,False,0.0,0.0,0.0,0.0
L2400048,ZAAUTO2024-1,B2400048,8,6,SRV-BAJAJ,20230130,2023-01-30,973128.69,361123.83,11.47,48,27,21,80.75,41.89,760,760,Excellent,0,Current,1,0.017654,0.297478,361123.83,1896.56,False,0.0,0.0,0.0,221466.27
L2400049,ZAAUTO2024-1,B2400049,0,2,SRV-BAJAJ,20231230,2023-12-30,1983818.73,1644211.19,11.96,60,50,10,66.44,34.54,740,779,Excellent,0,Current,1,0.011196,0.380561,1644211.19,7005.85,False,0.0,0.0,0.0,0.0
L2400050,ZAAUTO2024-1,B2400050,1,14,SRV-HDFC,20210730,2021-07-30,621659.68,0.0,8.0,36,0,39,64.02,28.71,791,798,Excellent,0,Current,1,0.007724,0.370502,0.0,0.0,False,0.0,0.0,0.0,0.0
L2400051,ZAAUTO2024-1,B2400051,9,10,SRV-HDFC,20211130,2021-11-30,1178084.77,685229.99,13.36,72,37,35,70.35,52.36,860,858,Excellent,59,30-59 DPD,2,0.101113,0.336618,685229.99,23322.7,False,0.0,0.0,0.0,0.0
L2400052,ZAAUTO2024-1,B2400052,5,2,SRV-HDFC,20220130,2022-01-30,1507175.68,526561.41,12.53,48,15,33,75.88,37.89,660,662,Prime,0,Current,1,0.135591,0.428127,526561.41,30566.86,False,0.0,0.0,0.0,0.0
L2400053,ZAAUTO2024-1,B2400053,8,14,SRV-BAJAJ,20231230,2023-12-30,1034371.11,877944.13,9.54,72,62,10,82.81,20.23,721,751,Excellent,16,1-29 DPD,1,0.022304,0.337685,877944.13,6612.57,False,0.0,0.0,0.0,0.0
L2400054,ZAAUTO2024-1,B2400054,9,8,SRV-BAJAJ,20231030,2023-10-30,994354.42,819454.84,8.58,72,60,12,72.21,34.78,654,681,Prime,0,Current,1,0.108341,0.414656,819454.84,36813.38,False,0.0,0.0,0.0,0.0
L2400055,ZAAUTO2024-1,B2400055,9,6,SRV-BAJAJ,20240130,2024-01-30,1105777.3,922388.08,9.13,60,51,9,85.97,26.3,764,764,Excellent,0,Current,1,0.015958,0.386216,922388.08,5684.72,False,0.0,0.0,0.0,0.0
L2400056,ZAAUTO2024-1,B2400056,9,7,SRV-HDFC,20230830,2023-08-30,1095556.85,677798.0,11.34,36,22,14,61.64,38.39,681,700,Super Prime,0,Current,1,0.078097,0.301224,677798.0,15945.04,False,0.0,0.0,0.0,0.0
L2400057,ZAAUTO2024-1,B2400057,2,6,SRV-HDFC,20240430,2024-04-30,1130489.24,998471.69,14.38,60,54,6,65.26,39.74,711,697,Prime,0,Current,1,0.082808,0.4436,998471.69,36677.57,False,0.0,0.0,0.0,0.0
L2400058,ZAAUTO2024-1,B2400058,8,14,SRV-HDFC,20220130,2022-01-30,541803.32,315341.63,9.65,72,39,33,54.13,24.92,775,807,Excellent,0,Current,1,0.006716,0.287842,315341.63,609.61,False,0.0,0.0,0.0,0.0
L2400059,ZAAUTO2024-1,B2400059,5,7,SRV-BAJAJ,20220330,2022-03-30,1195593.8,455460.42,10.05,48,17,31,67.55,37.84,744,724,Super Prime,0,Current,1,0.04521,0.377455,455460.42,7772.28,False,0.0,0.0,0.0,0.0
L2400060,ZAAUTO2024-1,B2400060,1,2,SRV-HDFC,20220930,2022-09-30,779145.77,585464.97,13.06,84,59,25,52.56,37.85,774,804,Excellent,0,Current,1,0.007018,0.302313,585464.97,1242.15,False,0.0,0.0,0.0,0.0
L2400061,ZAAUTO2024-1,B2400061,6,2,SRV-BAJAJ,20220630,2022-06-30,403298.54,234628.82,12.9,60,32,28,80.23,39.03,757,809,Excellent,0,Current,1,0.006531,0.313504,234628.82,480.43,False,0.0,0.0,0.0,0.0
L2400062,ZAAUTO2024-1,B2400062,4,2,SRV-HDFC,20220730,2022-07-30,629517.17,223308.24,12.68,72,45,27,85.96,29.79,812,794,Excellent,76,60-89 DPD,2,0.110707,0.363496,223308.24,8986.25,False,0.0,0.0,0.0,212045.99
L2400063,ZAAUTO2024-1,B2400063,1,5,SRV-BAJAJ,20230330,2023-03-30,1832431.82,1286141.78,10.59,60,41,19,71.7,30.14,692,715,Super Prime,0,Current,1,0.056294,0.356533,1286141.78,25813.57,False,0.0,0.0,0.0,0.0
L2400064,ZAAUTO2024-1,B2400064,1,13,SRV-BAJAJ,20240130,2024-01-30,1809877.89,1235981.89,11.06,72,63,9,78.86,35.76,649,691,Prime,69,60-89 DPD,2,0.320983,0.337531,1235981.89,133908.31,False,0.0,0.0,0.0,343362.17
L2400065,ZAAUTO2024-1,B2400065,3,6,SRV-HDFC,20210830,2021-08-30,870737.28,354083.26,10.38,60,22,38,74.9,37.74,677,661,Prime,0,Current,1,0.136844,0.321943,354083.26,15599.48,False,0.0,0.0,0.0,0.0
L2400066,ZAAUTO2024-1,B2400066,2,5,SRV-BAJAJ,20230930,2023-09-30,1116457.2,872928.77,9.72,60,47,13,65.52,50.01,750,753,Excellent,0,Current,1,0.021163,0.274996,872928.77,5080.2,False,0.0,0.0,0.0,0.0
L2400067,ZAAUTO2024-1,B2400067,0,10,SRV-ICICI,20230530,2023-05-30,1210573.45,890714.82,11.91,60,43,17,72.66,47.89,726,735,Super Prime,0,Current,1,0.034057,0.518049,890714.82,15715.25,False,0.0,0.0,0.0,0.0
L2400068,ZAAUTO2024-1,B2400068,3,5,SRV-HDFC,20210930,2021-09-30,1203167.26,308304.48,11.07,48,11,37,57.14,27.48,742,757,Excellent,12,1-29 DPD,1,0.019069,0.341513,308304.48,2007.82,False,0.0,0.0,0.0,0.0
L2400069,ZAAUTO2024-1,B2400069,2,6,SRV-BAJAJ,20210630,2021-06-30,3069224.54,1182216.64,12.65,60,20,40,76.11,30.63,706,681,Prime,0,Current,1,0.108341,0.450453,1182216.64,57695.23,False,0.0,0.0,0.0,0.0
L2400070,ZAAUTO2024-1,B2400070,0,5,SRV-ICICI,20230830,2023-08-30,359972.08,254749.65,9.0,48,34,14,80.37,46.09,719,677,Prime,129,90+ DPD,3,1.0,0.428435,254749.65,109143.7,True,109143.7,112289.64,109143.7,0.0
L2400071,ZAAUTO2024-1,B2400071,4,4,SRV-BAJAJ,20230430,2023-04-30,1037743.14,390998.35,10.1,48,30,18,54.46,31.33,697,657,Prime,188,90+ DPD,3,1.0,0.224889,390998.35,87931.3,True,87931.3,152612.73,87931.3,285275.77
L2400072,ZAAUTO2024-1,B2400072,0,8,SRV-ICICI,20210930,2021-09-30,915316.6,139909.92,9.14,48,11,37,70.53,35.66,735,742,Super Prime,0,Current,1,0.028307,0.404615,139909.92,1602.42,False,0.0,0.0,0.0,92949.51
L2400073,ZAAUTO2024-1,B2400073,5,8,SRV-HDFC,20210730,2021-07-30,532702.74,307108.99,8.26,84,45,39,67.53,39.03,705,653,Prime,0,Current,2,0.455239,0.434724,307108.99,60777.88,False,0.0,0.0,0.0,0.0
L2400074,ZAAUTO2024-1,B2400074,1,10,SRV-ICICI,20220330,2022-03-30,477025.8,289451.82,9.58,72,41,31,68.23,46.62,686,643,Near Prime,0,Current,1,0.155689,0.345497,289451.82,15569.6,False,0.0,0.0,0.0,0.0
L2400075,ZAAUTO2024-1,B2400075,7,7,SRV-ICICI,20211030,2021-10-30,1671181.58,446390.33,8.08,48,12,36,66.34,24.11,719,688,Prime,0,Current,1,0.097213,0.285883,446390.33,12405.86,False,0.0,0.0,0.0,0.0
L2400076,ZAAUTO2024-1,B2400076,0,3,SRV-HDFC,20230330,2023-03-30,775369.18,393470.26,11.82,72,53,19,60.85,28.76,696,687,Prime,0,Current,1,0.098817,0.30306,393470.26,11783.43,False,0.0,0.0,0.0,206699.54
L2400077,ZAAUTO2024-1,B2400077,8,10,SRV-HDFC,20231130,2023-11-30,733307.97,595159.05,10.55,60,49,11,68.88,50.46,718,701,Super Prime,0,Current,1,0.076545,0.423851,595159.05,19309.22,False,0.0,0.0,0.0,0.0
L2400078,ZAAUTO2024-1,B2400078,2,11,SRV-HDFC,20210530,2021-05-30,871966.42,0.0,9.96,36,0,41,87.51,25.95,734,735,Super Prime,27,1-29 DPD,1,0.034057,0.408536,0.0,0.0,False,0.0,0.0,0.0,0.0
L2400079,ZAAUTO2024-1,B2400079,7,2,SRV-BAJAJ,20210830,2021-08-30,727066.75,303775.11,12.36,60,22,38,59.92,31.09,664,632,Near Prime,0,Current,1,0.163857,0.333045,303775.11,16577.53,False,0.0,0.0,0.0,0.0
L2400080,ZAAUTO2024-1,B2400080,5,12,SRV-BAJAJ,20211030,2021-10-30,938600.75,427119.7,13.01,60,24,36,64.24,42.85,723,765,Excellent,0,Current,1,0.015565,0.307508,427119.7,2044.34,False,0.0,0.0,0.0,0.0
L2400081,ZAAUTO2024-1,B2400081,8,6,SRV-HDFC,20230530,2023-05-30,356991.01,236543.26,11.53,48,31,17,82.34,35.46,731,759,Excellent,50,30-59 DPD,2,0.13528,0.261134,236543.26,8356.18,False,0.0,0.0,0.0,0.0
L2400082,ZAAUTO2024-1,B2400082,7,2,SRV-HDFC,20230530,2023-05-30,1327754.94,984569.7,13.26,60,43,17,66.5,30.69,797,772,Excellent,70,60-89 DPD,2,0.122842,0.420552,984569.7,50864.13,False,0.0,0.0,0.0,0.0
L2400083,ZAAUTO2024-1,B2400083,4,3,SRV-BAJAJ,20230630,2023-06-30,1343811.17,1015480.94,13.44,60,44,16,75.85,34.11,766,806,Excellent,0,Current,1,0.006813,0.389668,1015480.94,2696.01,False,0.0,0.0,0.0,0.0
L2400084,ZAAUTO2024-1,B2400084,8,14,SRV-HDFC,20230228,2023-02-28,1323384.04,787133.59,8.84,48,28,20,62.54,23.27,709,763,Excellent,0,Current,1,0.016362,0.307273,787133.59,3957.49,False,0.0,0.0,0.0,0.0
L2400085,ZAAUTO2024-1,B2400085,3,14,SRV-HDFC,20230730,2023-07-30,448587.06,339800.86,10.52,60,45,15,67.26,47.12,749,743,Super Prime,36,30-59 DPD,2,0.158914,0.404165,339800.86,21824.52,False,0.0,0.0,0.0,0.0
L2400086,ZAAUTO2024-1,B2400086,7,0,SRV-BAJAJ,20240130,2024-01-30,730940.73,627445.07,9.19,72,63,9,79.14,20.56,784,813,Excellent,0,Current,1,0.006199,0.47447,627445.07,1845.34,False,0.0,0.0,0.0,0.0
L2400087,ZAAUTO2024-1,B2400087,2,13,SRV-HDFC,20230730,2023-07-30,473518.68,282447.5,12.31,36,21,15,69.88,47.41,760,785,Excellent,0,Current,1,0.009853,0.463462,282447.5,1289.86,False,0.0,0.0,0.0,0.0
L2400088,ZAAUTO2024-1,B2400088,3,1,SRV-ICICI,20230730,2023-07-30,3038400.51,2483599.5,8.0,84,69,15,56.72,55.42,789,772,Excellent,0,Current,1,0.013137,0.370869,2483599.5,12100.03,False,0.0,0.0,0.0,0.0
L2400089,ZAAUTO2024-1,B2400089,7,2,SRV-ICICI,20230430,2023-04-30,1664187.82,1196728.47,11.27,60,42,18,82.69,27.66,737,734,Super Prime,0,Current,1,0.034962,0.388143,1196728.47,16240.07,False,0.0,0.0,0.0,0.0
L2400090,ZAAUTO2024-1,B2400090,5,11,SRV-ICICI,20211230,2021-12-30,2184076.36,1274578.93,11.76,72,38,34,66.33,20.42,753,769,Excellent,0,Current,1,0.014112,0.385058,1274578.93,6925.93,False,0.0,0.0,0.0,0.0
L2400091,ZAAUTO2024-1,B2400091,6,13,SRV-ICICI,20220830,2022-08-30,352955.9,241938.1,12.48,72,46,26,80.25,46.52,744,716,Super Prime,0,Current,1,0.054979,0.359908,241938.1,4787.29,False,0.0,0.0,0.0,0.0
L2400092,ZAAUTO2024-1,B2400092,2,13,SRV-BAJAJ,20231130,2023-11-30,901497.11,693806.98,11.51,48,37,11,61.31,16.6,756,745,Super Prime,0,Current,1,0.026141,0.325487,693806.98,5903.23,False,0.0,0.0,0.0,0.0
L2400093,ZAAUTO2024-1,B2400093,9,1,SRV-HDFC,20231230,2023-12-30,1769187.97,1498752.75,8.98,72,62,10,75.18,43.04,649,632,Near Prime,0,Current,1,0.163857,0.297927,1498752.75,73165.37,False,0.0,0.0,0.0,0.0
L2400094,ZAAUTO2024-1,B2400094,7,5,SRV-HDFC,20230430,2023-04-30,811977.33,628457.86,12.3,72,54,18,68.05,43.22,699,723,Super Prime,0,Current,1,0.046356,0.382913,628457.86,11155.23,False,0.0,0.0,0.0,0.0
L2400095,ZAAUTO2024-1,B2400095,2,11,SRV-ICICI,20230930,2023-09-30,883664.24,741546.65,8.87,84,71,13,85.04,29.75,619,585,Subprime,0,Current,1,0.179864,0.406122,741546.65,54167.63,False,0.0,0.0,0.0,0.0
L2400096,ZAAUTO2024-1,B2400096,9,5,SRV-ICICI,20231130,2023-11-30,912140.16,748776.74,13.61,60,49,11,63.42,39.87,733,707,Super Prime,0,Current,1,0.067488,0.343337,748776.74,17350.01,False,0.0,0.0,0.0,0.0
L2400097,ZAAUTO2024-1,B2400097,4,9,SRV-HDFC,20220130,2022-01-30,674006.92,62116.52,11.4,36,3,33,71.23,21.85,732,673,Prime,0,Current,2,0.39128,0.361857,62116.52,8794.91,False,0.0,0.0,0.0,0.0
L2400098,ZAAUTO2024-1,B2400098,6,12,SRV-BAJAJ,20210930,2021-09-30,1402653.71,773343.77,12.69,72,35,37,65.37,31.68,694,667,Prime,28,1-29 DPD,1,0.129017,0.406472,773343.77,40555.54,False,0.0,0.0,0.0,0.0
L2400099,ZAAUTO2024-1,B2400099,4,12,SRV-HDFC,20240130,2024-01-30,963846.28,816002.28,13.97,60,51,9,60.93,28.57,751,747,Super Prime,0,Current,1,0.024791,0.324608,816002.28,6566.57,False,0.0,0.0,0.0,0.0
L2400100,ZAAUTO2024-1,B2400100,7,8,SRV-BAJAJ,20220830,2022-08-30,1140477.42,346747.2,13.67,36,10,26,59.34,26.75,664,645,Near Prime,128,90+ DPD,3,1.0,0.402284,346747.2,139490.77,True,139490.77,118457.99,139490.77,0.0
L2400101,ZAAUTO2024-1,B2400101,3,10,SRV-HDFC,20211130,2021-11-30,1213621.41,393298.53,11.59,60,25,35,58.27,33.92,739,794,Excellent,0,Current,1,0.008283,0.323231,393298.53,1052.95,False,0.0,0.0,0.0,177828.81
L2400102,ZAAUTO2024-1,B2400102,8,6,SRV-HDFC,20221130,2022-11-30,1120184.32,853273.35,11.66,84,61,23,79.79,40.14,854,900,Excellent,0,Current,1,0.0041,0.338186,853273.35,1182.97,False,0.0,0.0,0.0,0.0
